timestamp,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual
2020-07-03T17:00:00+0200,11409.9,4433,3113.9
2020-07-03T17:15:00+0200,11455.3,4002,3025.02
2020-07-03T17:30:00+0200,11339.6,3606,2910.87
2020-07-03T17:45:00+0200,11197,3328,2935.38
2020-07-03T18:00:00+0200,10780.7,2967,2947.77
2020-07-03T18:15:00+0200,10767.8,2621,2923.51
2020-07-03T18:30:00+0200,11010.8,2303,2848.87
2020-07-03T18:45:00+0200,11155.2,1925,2646.45
2020-07-03T19:00:00+0200,10916.5,1527,2516.02
2020-07-03T19:15:00+0200,10955.7,1217,2223.46
2020-07-03T19:30:00+0200,10636.7,993,2010.83
2020-07-03T19:45:00+0200,10467.4,799,1920.34
2020-07-03T20:00:00+0200,10796.5,591,1872.48
2020-07-03T20:15:00+0200,10646.9,414,1807.98
2020-07-03T20:30:00+0200,10545.4,267,1658.82
2020-07-03T20:45:00+0200,10413.8,151,1582.28
2020-07-03T21:00:00+0200,10348.6,68,1500.19
2020-07-03T21:15:00+0200,10153.7,17,1575.82
2020-07-03T21:30:00+0200,10103.6,1,1634.75
2020-07-03T21:45:00+0200,10355.5,0,1693
2020-07-03T22:00:00+0200,10312.3,0,1667.27
2020-07-03T22:15:00+0200,9956.46,0,1660.75
2020-07-03T22:30:00+0200,9693.73,0,1775.02
2020-07-03T22:45:00+0200,9519.4,0,1949.38
2020-07-03T23:00:00+0200,9344.27,0,2195.39
2020-07-03T23:15:00+0200,9188.6,0,2587.11
2020-07-03T23:30:00+0200,9124.2,0,2775.75
2020-07-03T23:45:00+0200,9058.87,0,2916.52
2020-07-04T00:00:00+0200,8940.53,0,2949.22
2020-07-04T00:15:00+0200,8610.6,0,3200.05
2020-07-04T00:30:00+0200,8577.46,0,3480.2
2020-07-04T00:45:00+0200,8770.33,0,3640.88
2020-07-04T01:00:00+0200,8734.2,0,3636.78
2020-07-04T01:15:00+0200,8310.13,0,3716.07
2020-07-04T01:30:00+0200,8003.47,0,3982.73
2020-07-04T01:45:00+0200,7928.53,0,4318.07
2020-07-04T02:00:00+0200,8083.93,0,4651.54
2020-07-04T02:15:00+0200,8194.4,0,4907.33
2020-07-04T02:30:00+0200,8118.93,0,5164.34
2020-07-04T02:45:00+0200,7928.67,0,5534.96
2020-07-04T03:00:00+0200,8034.33,0,5757.1
2020-07-04T03:15:00+0200,8190.2,0,5953.83
2020-07-04T03:30:00+0200,8363.27,0,6157.39
2020-07-04T03:45:00+0200,8452.33,0,6251.27
2020-07-04T04:00:00+0200,8391.6,0,6209.44
2020-07-04T04:15:00+0200,8247.07,0,6265.34
2020-07-04T04:30:00+0200,8003.4,2,6360.31
2020-07-04T04:45:00+0200,8018.93,4,6458.68
2020-07-04T05:00:00+0200,7861.53,33,6556.53
2020-07-04T05:15:00+0200,7954.87,99,6603.76
2020-07-04T05:30:00+0200,8055.13,179,6722.5
2020-07-04T05:45:00+0200,8130.6,278,6769.93
2020-07-04T06:00:00+0200,8212.07,413,6614.8
2020-07-04T06:15:00+0200,8196.93,578,6527.49
2020-07-04T06:30:00+0200,8452.13,807,6589.23
2020-07-04T06:45:00+0200,8892.2,1087,6218.87
2020-07-04T07:00:00+0200,9302,1423,5847.48
2020-07-04T07:15:00+0200,9254.8,1792,5630.36
2020-07-04T07:30:00+0200,9340.73,2174,5614.15
2020-07-04T07:45:00+0200,9480.33,2605,5595.95
2020-07-04T08:00:00+0200,9597.66,3004,5630.11
2020-07-04T08:15:00+0200,9535.07,3382,5806.89
2020-07-04T08:30:00+0200,9374.07,3818,6139.34
2020-07-04T08:45:00+0200,9753.73,4286,6645.4
2020-07-04T09:00:00+0200,10129.4,4634,6754.1
2020-07-04T09:15:00+0200,10209.3,4966,7138.45
2020-07-04T09:30:00+0200,10408.5,5301,7260.27
2020-07-04T09:45:00+0200,10596.4,5615,7690.91
2020-07-04T10:00:00+0200,10550.5,5877,7713.05
2020-07-04T10:15:00+0200,10503.7,6024,8180.92
2020-07-04T10:30:00+0200,11320.1,6131,8208.88
2020-07-04T10:45:00+0200,11153.9,6163,7747.41
2020-07-04T11:00:00+0200,10076.3,6203,7746.19
2020-07-04T11:15:00+0200,10198.1,6433,7934.87
2020-07-04T11:30:00+0200,9887.8,6423,7988.64
2020-07-04T11:45:00+0200,9915.8,6572,8250.03
2020-07-04T12:00:00+0200,10055.1,6712,8287.63
2020-07-04T12:15:00+0200,10171.1,6769,8272.89
2020-07-04T12:30:00+0200,10389.6,6714,7993.06
2020-07-04T12:45:00+0200,9944.07,6735,7848.73
2020-07-04T13:00:00+0200,9418.86,6675,8066.99
2020-07-04T13:15:00+0200,9823.54,6734,7916.28
2020-07-04T13:30:00+0200,9494.73,6622,8041.09
2020-07-04T13:45:00+0200,9554.2,6589,7863.51
2020-07-04T14:00:00+0200,9238.2,6426,7796.19
2020-07-04T14:15:00+0200,9083.73,6227,8387.97
2020-07-04T14:30:00+0200,9522.87,6010,8602.99
2020-07-04T14:45:00+0200,9701.66,5719,8513.07
2020-07-04T15:00:00+0200,9443.13,5447,8337.19
2020-07-04T15:15:00+0200,9122.8,5205,8515.36
2020-07-04T15:30:00+0200,9272.73,4972,8409.02
2020-07-04T15:45:00+0200,9276.07,4644,8478.77
2020-07-04T16:00:00+0200,9738,4285,8188.21
2020-07-04T16:15:00+0200,9464.73,3997,8179.32
2020-07-04T16:30:00+0200,9134.13,3845,8311.72
2020-07-04T16:45:00+0200,9206.6,3510,8693.58
2020-07-04T17:00:00+0200,9943.46,3217,8528.17
2020-07-04T17:15:00+0200,9755.33,2897,8053.65
2020-07-04T17:30:00+0200,9318.33,2631,8102.64
2020-07-04T17:45:00+0200,9458.6,2331,7941.65
2020-07-04T18:00:00+0200,9617.8,2071,7973.7
2020-07-04T18:15:00+0200,10171.3,1732,7671.13
2020-07-04T18:30:00+0200,9988.33,1466,7194.06
2020-07-04T18:45:00+0200,9666.07,1199,7597.21
2020-07-04T19:00:00+0200,10344.6,950,7450.28
2020-07-04T19:15:00+0200,10050.3,747,7414.67
2020-07-04T19:30:00+0200,10086.5,594,7284.93
2020-07-04T19:45:00+0200,10037,483,6932.33
2020-07-04T20:00:00+0200,9683.6,374,6844.38
2020-07-04T20:15:00+0200,9341,258,6929.25
2020-07-04T20:30:00+0200,9529.93,160,6808.43
2020-07-04T20:45:00+0200,9390.4,96,6638.89
2020-07-04T21:00:00+0200,9301.13,38,6790.92
2020-07-04T21:15:00+0200,9262.93,7,6899.19
2020-07-04T21:30:00+0200,9315.13,0,6891.24
2020-07-04T21:45:00+0200,9176.2,0,6666.25
2020-07-04T22:00:00+0200,9148.6,0,6725.8
2020-07-04T22:15:00+0200,9306.07,0,6674.42
2020-07-04T22:30:00+0200,9283.8,0,6541.12
2020-07-04T22:45:00+0200,9038.27,0,6488.46
2020-07-04T23:00:00+0200,8958.2,0,6463.32
2020-07-04T23:15:00+0200,8934.13,0,6303.28
2020-07-04T23:30:00+0200,8792.4,0,6286.05
2020-07-04T23:45:00+0200,8617.46,0,6175.59
2020-07-05T00:00:00+0200,8216.66,0,6197.34
2020-07-05T00:15:00+0200,8242.46,0,6207.07
2020-07-05T00:30:00+0200,8095.13,0,6231.06
2020-07-05T00:45:00+0200,7907.6,0,6236.83
2020-07-05T01:00:00+0200,7407.6,0,6282.83
2020-07-05T01:15:00+0200,7189.67,0,6288.64
2020-07-05T01:30:00+0200,7124.47,0,6248.44
2020-07-05T01:45:00+0200,6924.53,0,6450.5
2020-07-05T02:00:00+0200,6664.93,0,6757.75
2020-07-05T02:15:00+0200,6783.6,0,6586.01
2020-07-05T02:30:00+0200,6494,0,6648.9
2020-07-05T02:45:00+0200,6551,0,6538.9
2020-07-05T03:00:00+0200,6737.2,0,6617.64
2020-07-05T03:15:00+0200,6756.6,0,6379.18
2020-07-05T03:30:00+0200,6462.4,0,6466.9
2020-07-05T03:45:00+0200,6647.73,0,6579.69
2020-07-05T04:00:00+0200,6599,0,6525.23
2020-07-05T04:15:00+0200,6567.2,0,6650.49
2020-07-05T04:30:00+0200,6430.33,0,6520.16
2020-07-05T04:45:00+0200,6150.27,1,6482.16
2020-07-05T05:00:00+0200,6157.07,11,6809.15
2020-07-05T05:15:00+0200,6533.27,37,7030.87
2020-07-05T05:30:00+0200,6566.4,75,6893.32
2020-07-05T05:45:00+0200,6413.93,125,7061.47
2020-07-05T06:00:00+0200,6624.87,197,7014.88
2020-07-05T06:15:00+0200,6543.33,280,7037.56
2020-07-05T06:30:00+0200,6534.87,399,7082.25
2020-07-05T06:45:00+0200,6312.4,539,7301.6
2020-07-05T07:00:00+0200,6684.07,711,7346.09
2020-07-05T07:15:00+0200,6497.6,924,7640.48
2020-07-05T07:30:00+0200,6750.6,1127,7979.51
2020-07-05T07:45:00+0200,6891.93,1383,8312.6
2020-07-05T08:00:00+0200,7566.87,1698,8426.91
2020-07-05T08:15:00+0200,7608.33,1976,8709.83
2020-07-05T08:30:00+0200,7875.87,2282,8897.85
2020-07-05T08:45:00+0200,8049.6,2628,8990.37
2020-07-05T09:00:00+0200,8203.4,2962,9382.58
2020-07-05T09:15:00+0200,8683.87,3228,9806.8
2020-07-05T09:30:00+0200,9138.73,3421,9880.45
2020-07-05T09:45:00+0200,9166.13,3648,9979.89
2020-07-05T10:00:00+0200,9227.33,3729,10284.33
2020-07-05T10:15:00+0200,9597.73,3876,10446.58
2020-07-05T10:30:00+0200,9876.8,3987,10877.76
2020-07-05T10:45:00+0200,10084,4097,10941.13
2020-07-05T11:00:00+0200,10144.1,4058,11061.32
2020-07-05T11:15:00+0200,10329.6,3997,11196.46
2020-07-05T11:30:00+0200,10401.3,3864,10645.57
2020-07-05T11:45:00+0200,9657.53,3661,10853.75
2020-07-05T12:00:00+0200,9994.6,3453,11166.88
2020-07-05T12:15:00+0200,9845.73,3355,10665.3
2020-07-05T12:30:00+0200,9250.4,3367,10669.57
2020-07-05T12:45:00+0200,9159.66,3418,10221.99
2020-07-05T13:00:00+0200,8634.8,3501,10153.59
2020-07-05T13:15:00+0200,8593.86,3646,10157.24
2020-07-05T13:30:00+0200,8428.73,3592,9799.8
2020-07-05T13:45:00+0200,8268.86,3685,9788.44
2020-07-05T14:00:00+0200,8079.2,3781,9651.65
2020-07-05T14:15:00+0200,8241.73,3798,9541.98
2020-07-05T14:30:00+0200,8458.53,4012,9073.31
2020-07-05T14:45:00+0200,7918.07,4067,8812.1
2020-07-05T15:00:00+0200,8305.53,4123,8924.77
2020-07-05T15:15:00+0200,8346.87,4139,7927.68
2020-07-05T15:30:00+0200,7485.6,4226,8144.61
2020-07-05T15:45:00+0200,7771.27,4205,8031.79
2020-07-05T16:00:00+0200,8025.33,4164,7988.06
2020-07-05T16:15:00+0200,8349.86,4090,7587.01
2020-07-05T16:30:00+0200,7795.27,4086,7758.1
2020-07-05T16:45:00+0200,8051.87,3840,8687.06
2020-07-05T17:00:00+0200,8949.46,3598,8288.33
2020-07-05T17:15:00+0200,7955,3217,9113.78
2020-07-05T17:30:00+0200,8457.73,2998,9528.41
2020-07-05T17:45:00+0200,8633.13,2693,9938.17
2020-07-05T18:00:00+0200,9406.87,2370,10095.95
2020-07-05T18:15:00+0200,9465.4,2115,9645.78
2020-07-05T18:30:00+0200,9073.33,1860,9745.8
2020-07-05T18:45:00+0200,9373.73,1534,9753.06
2020-07-05T19:00:00+0200,9585.27,1241,9741.02
2020-07-05T19:15:00+0200,9826.8,959,9816.98
2020-07-05T19:30:00+0200,9996.27,760,9193.42
2020-07-05T19:45:00+0200,9963.93,584,8612.37
2020-07-05T20:00:00+0200,9828.07,438,8327.48
2020-07-05T20:15:00+0200,10018.7,300,7998.23
2020-07-05T20:30:00+0200,9899.93,190,7555.39
2020-07-05T20:45:00+0200,9556.2,113,6831.45
2020-07-05T21:00:00+0200,9121.73,56,6379.81
2020-07-05T21:15:00+0200,8781.53,16,6503.61
2020-07-05T21:30:00+0200,9093.53,2,6424.67
2020-07-05T21:45:00+0200,9271.53,0,6129.79
2020-07-05T22:00:00+0200,9259,0,6099.93
2020-07-05T22:15:00+0200,9210.33,0,5982.82
2020-07-05T22:30:00+0200,9090.8,0,6159.14
2020-07-05T22:45:00+0200,9292.4,0,6126.23
2020-07-05T23:00:00+0200,9285.93,0,6141.32
2020-07-05T23:15:00+0200,9343.93,0,5952.73
2020-07-05T23:30:00+0200,9232.07,0,5837.37
2020-07-05T23:45:00+0200,8887.73,0,5700.78
2020-07-06T00:00:00+0200,8599,0,5609.26
2020-07-06T00:15:00+0200,8469.33,0,5439.7
2020-07-06T00:30:00+0200,8272.73,0,5468.57
2020-07-06T00:45:00+0200,8244.33,0,5462.52
2020-07-06T01:00:00+0200,8108.6,0,5464.41
